codigoOC;FechaEnvioOC;NombreOC;DescripcionOC;EstadoOC;ProcedenciaOC;MonedaOC;MontoNetoOC;DescuentosOC;CargosOC;ImpuestosOC;MontoTotalOC;ImpuestosOC_CLP;MontoNetoOC_CLP;MetodoPago;TipoDespacho;Financiamiento;UnidadCompra;UnidadCompraRUT;RegionUnidadCompra;entCode;Institucion;Sector;Proveedor;ProveedorRUT;ActividadProveedor;TamanoProveedor;RegionProveedor;RubroN1;RubroN2;RubroN3;CodigoProductoONU;ONUProducto;NombreItem;DescripcionItem;CantidadItem;UnidadMedida;MonedaItem;MontoNetoItem;DescuentoItem;CargosItem;ImpuestoEspecificoItem;MontoTotalItem;MontoNetoItemCLP
1210674-41-SE24;29-02-2024 0:00:00;Servicio de aseo para centros de administración directa por mes de marzo  (epc);Servicio de aseo para centros de administración directa por mes de marzo  (epc) E-mail envío factura facturas a dipresrecepcion@custodium.com en formato xml, favor ingresar numero de orden compra en el campo 801 Fuente de Financiamiento CDP N°110 Enviar Datos de pago en facturación Aprobado por Resolución Exenta N°21 ;Recepcion Conforme;Trato Directo;CLP;50140000;0;0;9526600;59666600;9526600;50140000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;249;ADMINISTRACIÓN DIRECTA REGIÓN METROPOLITANA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;INVERSIONES ANDES SPA;76.200.391-0;SERVICIO DE LAVADO DE VEHICULOS AUTOMOTORES;Pequeña;Región Metropolitana de Santiago;Servicios de limpieza industrial;Servicios de limpieza;Servicios de limpieza de edificios y oficinas en general;76111501;Servicios de limpieza de edificios;Servicios de limpieza de edificios;Servicio de aseo para centros de administración directa por 1 mes;1;Unidad no definida;CLP;50140000;0;0;0;50140000;50140000
1208985-26-SE24;11-03-2024 0:00:00;RFA_Servicio de Catering y Banqueteria.;SERVICIO SUMINISTRO DE CATERING Y BAQUETERIA RFA (18 MESES);Recepcion Conforme;Trato Directo;CLP;1260504,20168;0;0;239495,79831919997;1499999,9999992;239495,79831919997;1260504,20168;30 dias contra la recepcion conforme de la factura;A convenir;181;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;MARIANNELA ETHEL MELLA BORQUEZ;9.334.524-K;SERVICIOS DE BANQUETES, BODAS Y OTRAS CELEBRACIONES| OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;Pequeña;Región de Magallanes y de la Antártica;Servicios de Viajes, alimentación, alojamiento y entretenimiento;Restaurantes y catering;Servicios de comedor y banquetes;90101603;Servicios de catering;Servicios de catering;RFA_Servicio de Catering y Banqueteria.;1;Unidad;CLP;1260504,20168;0;0;0;1260504,20168;1260504,20168
1208097-7-SE24;15-03-2024 0:00:00;Servicio capacitación mes del lanzamiento de transferencias técnicas 2024;SERVICIO DE CAPACITACIÓN EN FORMATO SEMINARIO, EN EL MARCO DEL MES DEL LANZAMIENTO DE LAS ACTIVIDADES DE TRANSFERENCIAS TÉCNICAS 2024, PARA LA DIRECCIÓN REGIONAL DE VALPARAÍSO DEL SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA;Recepcion Conforme;Trato Directo;CLP;1804103;0;0;0;1804103;0;1804103;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;199;DIRECCION REGIONAL VALPARAISO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;ALCOTAN CONSULTORES;76.784.401-8;Capacitaciones y Asesorías;Micro;Región de Valparaíso ;Educación, formación, entrenamiento y capacitación;Sistemas educativos complementarios;Educación de adultos;86111604;Capacitación a empleados;Capacitación a empleados;;1;Unidad no definida;CLP;1804103;0;0;0;1804103;1804103
1208985-41-SE24;22-03-2024 0:00:00;RFAT_SERVICIO DE HIPOTERAPIA PARA NNAJ;RFAT - CONTRATACIÓN DEL SERVICIO DE SUMINISTRO DE HIPOTERAPIA, PARA LOS NNAJ DE LAS RESIDENCIAS DE ADMINISTRACIÓN DIRECTA, DEL SERVICIO DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, DE LA REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA.  VIGENCIA CONTRATO 18 MESES O HASTA AGOTAR PRESUPUESTO;Recepcion Conforme;Trato Directo;CLP;3200000;0;0;0;3200000;0;3200000;30 dias contra la recepcion conforme de la factura;A convenir;242;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;CENTRO ECUESTRE AIRES SPA;76.954.169-1;OTROS SERVICIOS DE ATENCION DE LA SALUD HUMANA PRESTADOS POR EMPRESAS;Micro;Región de Magallanes y de la Antártica;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Rehabilitación;85122102;Servicios de terapia ocupacional;Servicios de terapia ocupacional;CONTRATACIÓN DEL SERVICIO DE SUMINISTRO DE HIPOTERAPIA, PARA LOS NNAJ DE LAS RESIDENCIAS DE ADMINISTRACIÓN DIRECTA, DEL SERVICIO DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, DE LA REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;1;Unidad;CLP;3200000;0;0;0;3200000;3200000
1208985-47-SE24;02-04-2024 0:00:00;RFAT_Servicio de Suministro de Tarjetas Giftcard  de alimentación y Art. de aseo personal para ser utilizadas en Supermercado Unimarc;RFAT_Servicio de Suministro de Tarjetas giftcard de Alimentación y Art. de Aseo Personal  para ser utilizadas en Supermercado Unimarc, las cuales se requieren para cubrir necesidades de los Niños, niñas y Adolescentes de las Residencias Familiares de Administración Directa de la XII Región  Trato Directo causal Art. 10, N°7, letra L del reglamento de contrataciones públicas y proviene de Licitación Pública N° 1208110-2-LQ24.;Recepcion Conforme;Trato Directo;CLP;8000000;0;0;0;8000000;0;8000000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;271;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;SOCIEDAD DE CONFECCIONES CLER LIMITADA;76.045.081-2;FABRICACION DE PRENDAS DE VESTIR DE MATERIALES TEX;Grande;Región de la Araucanía ;Servicios profesionales, administrativos y consultorías de gestión empresarial;Servicios de apoyo a la administración de empresas;Servicios de apoyo a la gestión;80161504;Servicios administrativos;Servicios administrativos;GIFT CARD VALIDAS PARA CANJE PARA ALIMENTACIÓN EN SUPERMERCADO UNIMARC.   PRESUPUESTO A PAGAR $ 5.000.000.-;1;Unidad;CLP;5098500;98500;0;0;5000000;5000000
1208985-50-SE24;02-04-2024 0:00:00;RFA_ Servicio de Sala Cuna para hijo de Funcionari;RFA_ Se Requiere contratar el Servicio de Sala Cuna, para hijo de funcionaria Doña Anita Catepillán Leiva, que presta Servicios en la Residencia Familiar de Adolescentes (SALA CUNA Y JARDIN INFANTIL PEQUEÑOS ARTISTAS);Recepcion Conforme;Trato Directo;CLP;3611800;0;0;0;3611800;0;3611800;30 dias contra la recepcion conforme de la factura;A convenir;;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;KATHERINE PAOLA MOLINA ARAYA;10.464.047-8;ESTABLECIMIENTOS DE ENSENANZA PREESCOLAR;Micro;Región de Magallanes y de la Antártica;Servicios de cuidado personal y domésticos;Servicio doméstico y de cuidados;Cuidado de niños, personas enfermas y ancianos;91111901;Jardines infantiles o salas cunas;Jardines infantiles o salas cunas;MATRICULA AÑO 2024;1;Unidad;CLP;340000;0;0;0;340000;340000
1347772-3-SE24;03-04-2024 0:00:00;efd Modifica TD OC1208089-65-SE23 Habilitación RAD;efd Modifica TD de OC 1208089-65-SE23 Habilitación RAD Rio Seco, por nuevas obras.;Recepcion Conforme;Trato Directo;CLP;28991371;0;0;5508360,49;34499731,49;5508360,49;28991371;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;71;ADMINISTRACIÓN DIRECTA REGIÓN DE TARAPACÁ;62.000.890-7;Region de Tarapaca;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;CONOTECH S.A.;76.124.503-1;Industrial;Mediana;Región de Tarapacá  ;Servicios de construcción y mantenimiento;Servicios de atención, mantenimiento y reparaciones de edificios;Albañilería, mampostería y colocación de azulejos;72102508;Restauración de albañilería, mampostería o azulejos;Restauración de albañilería, mampostería o azulejo;Nuevas obras, de acuerdo a lo señalado en Resolución 43A del 28-03-24 de la Dirección Nacional del Servicio de Protección Especializada de la Niñez y Adolescencia.;1;Unidad;CLP;28991371;0;0;0;28991371;28991371
1208985-51-SE24;05-04-2024 0:00:00;RFAT_ Servicio de Suministro de Farmacia y Perfumería;RFAT_ Servicio de suministro de Farmacia y Perfumería, para cubrir necesidades de las Residencias Familiares, en las cuales se atienden a grupos reducidos de niños, niñas y adolescentes.  Trato Directo por la causal contemplada en la letra G) del artículo 8 de la Ley N°19.886, Concordada con el art. 10  N°7 letra L) del Reglamento de Compras y Contrataciones Públicas, ya que proviene de Licitación Pública Id 1208110-2-LQ24 donde líneas de perfumería y farmacia quedaron desiertas, sin ofertas.;Recepcion Conforme;Trato Directo;CLP;4411765;210084;0;798319,39;5000000,39;798319,39;4411765;30 dias contra la recepcion conforme de la factura;A convenir;280;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;FARMACEUTICA Y COMERCIALIZADORA MARCELO FABIAN AGÜ;76.750.786-0;FARMACIA, PERFUMERÍA, COSMETICOS Y MINIMARKET ;Pequeña;Región de Magallanes y de la Antártica;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Farmacéuticos;85121902;Farmacias;Farmacias;Servicio de Suministro de Servicio de Soporte Farmacia, por monto ofertado con un 5% de abono $ 3.150.000.-;1;Unidad;CLP;2647059;0;0;0;2647059;2647059
1209395-96-SE24;08-04-2024 0:00:00;TD Servicio Lavandería RF Paula Jaraquemada Marzo 2024;AUTORIZA TRATO DIRECTO CON EL PROVEEDOR BIOLAVANDERIA SPA, RUT: 76.570.054-k, PARA LA CONTRATACIÓN DEL SERVICIO DE LAVANDERÍA PARA RESIDENCIAS FAMILIARES DE ADMINISTRACIÓN DIRECTA REGIÓN DE LA ARAUCANÍA, SEGÚN LO DISPUESTO POR EL ARTÍCULO N°10, N°7, LETRA l) DEL REGLAMENTO DE LA LEY N°19.886.;Recepcion Conforme;Trato Directo;CLP;153028;0;0;29075,32;182103,32;29075,32;153028;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;ADMINISTRACIÓN DIRECTA REGIÓN DE LA ARAUCANIA;62.000.890-7;Region de la Araucania;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;BIOLAVANDERIA SPA;76.570.054-k;LAVANDERIA;Micro;Región de la Araucanía ;Servicios de cuidado personal y domésticos;Servicio doméstico y de cuidados;Servicios de lavado;91111502;Servicios de lavandería;Servicios de lavandería;Servicio de Lavandería para Residencia Familiar Paula Jaraquemada Marzo 2024, según Comandas N° 91, 92, 93, 94, 96 y 97;1;Global;CLP;153028;0;0;0;153028;153028
1208985-53-SE24;12-04-2024 0:00:00;RFAT_Servicio de Suministro de Vestuario y Calzado;RFAT_ Servicio de suministro de Vestuario y Calzado, para cubrir necesidades de las Residencias Familiares, en las cuales se atienden a grupos reducidos de niños, niñas y adolescentes.  El abono ofertado por proveedor, se verá reflejado en un descuento del 15 % realizado en cada compra que se realice.  Trato Directo por la causal contemplada en la letra G) del artículo 8 de la Ley N°19.886, Concordada con el art. 10  N°7 letra L) del Reglamento de Compras y Contrataciones Públicas, ya que proviene de Licitación Pública Id 1208110-2-LQ24 donde líneas de Vestuario y Calzado Cosme Nocera quedaron desiertas, sin ofertas.;Recepcion Conforme;Trato Directo;CLP;5073530;661765;0;838235,35;5250000,35;838235,35;5073530;30 dias contra la recepcion conforme de la factura;Retiramos de su bodega;301;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;SOC COMERCIAL NOCERA Y CIA LTDA;82.120.700-2;GRANDES TIENDAS - VESTUARIO Y PRODUCTOS PARA EL HOGAR| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR;Mediana;Región de Magallanes y de la Antártica;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Farmacéuticos;85121902;Farmacias;Farmacias;Servicio de Suministro de Servicio de Soporte Calzado, por monto ofertado con un 15% de abono $ 150.000.-;1;Unidad;CLP;966387;0;0;0;966387;966387
